"YHOO","GOOG","PG","SP500","BEARX","TGT"
-2.773590594,15.90231873,6.666666667,4.65166067,-4.09556314,0.140668959
22.30825959,3.425433936,-2.962867124,2.974947488,-4.248366013,1.058284631
-3.453186187,-4.601520698,-2.999497992,-3.129801332,2.341137124,-10.57909605
11.7787505,0.838283903,5.091005012,4.946211121,-4.777070064,3.463393249
-4.448669202,1.050251372,0.291005291,-1.499932546,0.964630225,-0.912250217
6.348564497,5.657494209,-0.013225764,2.076278348,-2.507836991,-1.003440367
5.099872503,3.825281104,0.358375365,1.808576399,-3.625377644,3.088517807
10.4176443,-0.874937594,1.154672395,3.59877994,-2.647058824,8.724293059
8.558329088,6.022310736,1.360914535,1.106060303,-1.734104046,4.816436511
-1.35678392,6.829426899,11.60388821,5.042806358,-4.683195592,2.097661623
6.020245072,1.290147057,-2.776137035,0.706831053,-1.62601626,-6.269137792
11.4608076,2.656181097,0.848845867,0.284670292,-1.861702128,-0.401284109
5.381727159,-9.834327369,0.644484412,-1.978940354,0.534759358,0.435273255
9.078498294,10.13151557,3.233792356,2.423609038,-2.094240838,-0.958007345
-7.512626263,8.234197513,4.107603093,1.976336166,-3.535353535,6.278635669
0.063171194,9.119589015,6.28317069,1.259763904,-0.502512563,4.227095861
3.871391076,-0.136005234,-1.666666667,3.955492128,-3.8647343,0.479829394
-1.930501931,-3.96627263,-2.125556105,-6.265067136,6.153846154,0.482142857
2.102496715,-5.674942299,-4.515418502,-0.749749728,0.775193798,-0.550523886
2.62980445,3.718560453,-0.594307163,3.133237655,-3.007518797,2.774228874
-4.137039431,6.574615159,7.263881899,4.058944994,-3.855421687,12.22859484
-4.091754495,-10.18578727,-4.745925216,4.358301527,-5.034324943,-0.812677773
2.673456397,7.759555548,3.30141961,0.853275165,-1.354401806,-2.804107425
0.447570332,1.138971382,0.916208562,-0.505864518,-0.449438202,-3.192506213
18.75474563,15.06679093,2.109202245,10.77230383,-10.64257028,11.63038839
-3.232916973,-4.79148181,-0.793115086,-7.176201298,6.18336887,-5.084059145
3.893129771,-10.39109477,3.565186998,-5.67910979,4.6875,0.981795868
-12.89893617,19.21679371,-2.488070893,-2.147443664,3.225806452,9.766502021
-9.123867069,-4.279611357,-5.10996119,-1.825750818,1.165501166,-5.294492877
-6.497175141,-2.771549348,3.238731219,-1.350092768,0,1.357758621
6.115107914,-7.270434249,6.224507891,2.849535763,-2.941176471,-1.819720694
1.707317073,-4.343006195,-2.304227304,-0.104730188,-0.896860987,-4.832863472
1.736972705,2.172030115,-0.121128223,3.195658259,-2.620087336,-3.703703704
-3.066746843,1.07581191,-1.146082792,2.264559015,-3.171247357,-8.822489392
5.120101138,6.884886002,5.352315733,6.5300072,-5.210420842,5.601194922
-4.063068526,-9.449242301,-3.930055402,-0.229028278,0.402414487,10.13777504
