"Subject","General","Dexterity","Without","With"
1,239,230,116,124
2,230,212,112,119
3,213,210,109,114
4,211,202,107,114
5,150,179,107,109
6,258,228,123,129
7,90,124,85,89
8,164,156,94,99
9,135,142,99,104
10,179,158,94,104
11,245,254,117,124
12,224,148,114,119
13,198,236,107,109
14,103,86,91,94
15,226,204,115,119
16,137,166,89,104
17,194,160,104,109
18,101,126,91,94
19,120,144,95,99
20,269,226,136,134
21,122,148,90,99
22,209,194,114,114
23,194,192,105,109
24,119,226,72,84
25,247,226,117,124
26,228,208,113,119
27,215,218,108,114
28,211,86,119,114
29,152,184,103,109
30,262,236,121,129
31,149,122,92,94
32,118,140,96,99
33,133,134,100,104
34,137,150,101,104
35,196,168,101,109
36,86,116,87,89
